,duration,object,caption,prob
0,0,,a black and white photo of a clock tower .,0.000709
1,1,,a black and white photo of a clock tower .,0.000709
2,2,cup_0.69;potted plant_0.77;dining table_0.49;book_0.72;bottle_0.73;chair_0.98;vase_0.65,a group of people standing around a kitchen .,0.002529
3,3,cup_0.69;potted plant_0.77;dining table_0.49;book_0.72;bottle_0.73;chair_0.98;vase_0.65,a group of people standing around a kitchen .,0.002529
4,4,cup_0.76;potted plant_0.60;oven_0.77;fork_0.89;bicycle_0.76;wine glass_0.98;baseball glove_0.48;book_0.71;bottle_0.76;chair_0.40;cell phone_0.67;handbag_0.81;vase_0.95,a man standing in front of a mirror in a bathroom .,0.000238
5,5,cup_0.76;potted plant_0.60;oven_0.77;fork_0.89;bicycle_0.76;wine glass_0.98;baseball glove_0.48;book_0.71;bottle_0.76;chair_0.40;cell phone_0.67;handbag_0.81;vase_0.95,a man standing in front of a mirror in a bathroom .,0.000238
6,6,cup_0.76;potted plant_0.60;oven_0.77;fork_0.89;bicycle_0.76;wine glass_0.98;baseball glove_0.48;book_0.71;bottle_0.76;chair_0.40;cell phone_0.67;handbag_0.81;vase_0.95,a man standing in front of a mirror in a bathroom .,0.000238
7,7,cup_0.76;potted plant_0.60;oven_0.77;fork_0.89;bicycle_0.76;wine glass_0.98;baseball glove_0.48;book_0.71;bottle_0.76;chair_0.40;cell phone_0.67;handbag_0.81;vase_0.95,a man standing in front of a mirror in a bathroom .,0.000238
8,8,cup_0.76;potted plant_0.60;oven_0.77;fork_0.89;bicycle_0.76;wine glass_0.98;baseball glove_0.48;book_0.71;bottle_0.76;chair_0.40;cell phone_0.67;handbag_0.81;vase_0.95,a man standing in front of a mirror in a bathroom .,0.000238
9,9,cup_0.76;potted plant_0.60;oven_0.77;fork_0.89;bicycle_0.76;wine glass_0.98;baseball glove_0.48;book_0.71;bottle_0.76;chair_0.40;cell phone_0.67;handbag_0.81;vase_0.95,a man standing in front of a mirror in a bathroom .,0.000238
10,10,cup_0.76;potted plant_0.60;oven_0.77;fork_0.89;bicycle_0.76;wine glass_0.98;baseball glove_0.48;book_0.71;bottle_0.76;chair_0.40;cell phone_0.67;handbag_0.81;vase_0.95,a man standing in front of a mirror in a bathroom .,0.000238
11,11,cup_0.76;potted plant_0.60;oven_0.77;fork_0.89;bicycle_0.76;wine glass_0.98;baseball glove_0.48;book_0.71;bottle_0.76;chair_0.40;cell phone_0.67;handbag_0.81;vase_0.95,a man standing in front of a mirror in a bathroom .,0.000238
12,12,clock_0.50;cup_0.93;potted plant_0.81;sink_0.73;wine glass_0.78;bottle_0.69;book_0.53;cell phone_0.62;bowl_0.51;vase_0.99,a group of people standing around each other .,0.001922
