Show,Season,Episode,Entity,Type,Metric,DMA,TargetGroup,Value
Friends,7,1,Chandler,Character,Attrition,All,15+ Female,0.33
Friends,7,2,Chandler,Character,Attrition,All,15+ Female,0.8
Friends,7,3,Chandler,Character,Attrition,All,15+ Female,0.45
Friends,7,4,Chandler,Character,Attrition,All,15+ Female,0.1
Friends,7,5,Chandler,Character,Attrition,All,15+ Female,0.79
Friends,7,6,Chandler,Character,Attrition,All,15+ Female,0.41
Friends,7,7,Chandler,Character,Attrition,All,15+ Female,0.65
Friends,7,8,Chandler,Character,Attrition,All,15+ Female,0.45
Friends,7,9,Chandler,Character,Attrition,All,15+ Female,0.18
Friends,7,10,Chandler,Character,Attrition,All,15+ Female,0.12
Friends,7,1,Chandler,Character,Attrition,All,15+ Male,0.66
Friends,7,2,Chandler,Character,Attrition,All,15+ Male,0.42
Friends,7,3,Chandler,Character,Attrition,All,15+ Male,0.24
Friends,7,4,Chandler,Character,Attrition,All,15+ Male,0.41
Friends,7,5,Chandler,Character,Attrition,All,15+ Male,0.1
Friends,7,6,Chandler,Character,Attrition,All,15+ Male,0.41
Friends,7,7,Chandler,Character,Attrition,All,15+ Male,0.22
Friends,7,8,Chandler,Character,Attrition,All,15+ Male,0.11
Friends,7,9,Chandler,Character,Attrition,All,15+ Male,0.02
Friends,7,10,Chandler,Character,Attrition,All,15+ Male,0.34
Friends,7,1,Chandler,Character,Attrition,All,All,0.19
Friends,7,2,Chandler,Character,Attrition,All,All,0.21
Friends,7,3,Chandler,Character,Attrition,All,All,0.15
Friends,7,4,Chandler,Character,Attrition,All,All,0.47
Friends,7,5,Chandler,Character,Attrition,All,All,0
Friends,7,6,Chandler,Character,Attrition,All,All,0.62
Friends,7,7,Chandler,Character,Attrition,All,All,0.69
Friends,7,8,Chandler,Character,Attrition,All,All,0.37
Friends,7,9,Chandler,Character,Attrition,All,All,0.99
Friends,7,10,Chandler,Character,Attrition,All,All,0.56
Friends,7,1,Chandler,Character,Attrition,All,Kids,0.54
Friends,7,2,Chandler,Character,Attrition,All,Kids,0.7
Friends,7,3,Chandler,Character,Attrition,All,Kids,0.63
