Season,Episode,Shot,duration,Time,Ross,Chandler,Joey,Rachel,Monica,Phoebe,Central Perk,Monica's Apartment,Chandler's Apartment,object,caption,caption_prob
7,9,1,0,0:00:00,0,0,0,0,0,0,1,0,0,,Monica whips up some holiday candy for the neighbors. Rachel and Tag set the ground rules for their new romance. Moved by Phoebe's bikeless childhood story Ross buys her a new two-wheeler.,0.000709
7,9,1,1,0:00:01,0,0,0,0,0,0,1,0,0,,Monica whips up some holiday candy for the neighbors. Rachel and Tag set the ground rules for their new romance. Moved by Phoebe's bikeless childhood story Ross buys her a new two-wheeler.,0.000709
7,9,1,2,0:00:02,0,0,0,0,0,0,1,0,0,,Monica whips up some holiday candy for the neighbors. Rachel and Tag set the ground rules for their new romance. Moved by Phoebe's bikeless childhood story Ross buys her a new two-wheeler.,0.000709
7,9,2,3,0:00:03,0,0,0,0,0,0,0,1,0,,Monica whips up some holiday candy for the neighbors. Rachel and Tag set the ground rules for their new romance. Moved by Phoebe's bikeless childhood story Ross buys her a new two-wheeler.,0.000709
7,9,2,4,0:00:04,0,0,0,0,0,0,0,1,0,,Monica whips up some holiday candy for the neighbors. Rachel and Tag set the ground rules for their new romance. Moved by Phoebe's bikeless childhood story Ross buys her a new two-wheeler.,0.000709
7,9,2,5,0:00:05,0,0,0,0,0,0,0,1,0,chair_0.54;bench_0.69;bicycle_0.94;tie_0.40;bowl_0.84,Monica whips up some holiday candy for the neighbors. Rachel and Tag set the ground rules for their new romance. Moved by Phoebe's bikeless childhood story Ross buys her a new two-wheeler.,0.000709
7,9,3,6,0:00:06,0,0,0,0,0,0,0,1,0,chair_0.54;bench_0.69;bicycle_0.94;tie_0.40;bowl_0.84,Monica whips up some holiday candy for the neighbors. Rachel and Tag set the ground rules for their new romance. Moved by Phoebe's bikeless childhood story Ross buys her a new two-wheeler.,0.000709
7,9,3,7,0:00:07,0,0,0,0,0,0,0,1,0,chair_0.54;bench_0.69;bicycle_0.94;tie_0.40;bowl_0.84,Monica whips up some holiday candy for the neighbors. Rachel and Tag set the ground rules for their new romance. Moved by Phoebe's bikeless childhood story Ross buys her a new two-wheeler.,0.000709
7,9,3,8,0:00:08,0,0,0,0,0,0,0,1,0,chair_0.54;bench_0.69;bicycle_0.94;tie_0.40;bowl_0.84,Monica whips up some holiday candy for the neighbors. Rachel and Tag set the ground rules for their new romance. Moved by Phoebe's bikeless childhood story Ross buys her a new two-wheeler.,0.000709
7,9,3,9,0:00:09,0,1,0,0,0,0,0,1,0,bottle_0.83,Monica whips up some holiday candy for the neighbors. Rachel and Tag set the ground rules for their new romance. Moved by Phoebe's bikeless childhood story Ross buys her a new two-wheeler.,0.000709
